investigation_id,case_id,investigating_officer_id,investigation_start_date,investigation_end_date,investigation_status,evidence_collected,witness_count,forensic_required,forensic_completed,remarks
INV000001,CR000001,EMP003313,2024-08-29,2024-11-28,Closed,Yes,1,No,No,Investigation closed after verification.
INV000002,CR000002,EMP001465,2025-07-25,2025-10-02,Completed,Yes,2,No,No,Charge sheet preparation underway.
INV000003,CR000003,EMP004855,2025-08-22,2025-10-07,Completed,No,4,No,No,Investigation completed successfully.
INV000004,CR000004,EMP003298,2026-06-23,,Ongoing,Yes,3,No,No,Additional witnesses being examined.
INV000005,CR000005,EMP006202,2024-09-13,,Ongoing,Yes,5,No,No,Evidence collection in progress.
INV000006,CR000006,EMP008414,2026-06-22,2026-11-24,Completed,Yes,7,Yes,Yes,Investigation completed successfully.
INV000007,CR000007,EMP009401,2024-07-13,,Ongoing,Yes,4,Yes,Yes,Awaiting forensic report.
INV000008,CR000008,EMP005419,2025-08-28,2025-10-25,Completed,Yes,5,No,No,Charge sheet preparation underway.
INV000009,CR000009,EMP003301,2026-05-26,,Ongoing,Yes,7,Yes,Yes,Evidence collection in progress.
INV000010,CR000010,EMP009891,2025-07-29,,Ongoing,Yes,8,Yes,Yes,Investigation in progress.
INV000011,CR000011,EMP001410,2025-01-21,2025-03-13,Closed,Yes,5,Yes,Yes,Complaint found to be false.
INV000012,CR000012,EMP008057,2024-10-11,2024-12-29,Completed,Yes,9,No,No,Witness statements recorded.
INV000013,CR000013,EMP004535,2026-04-26,2026-09-25,Completed,Yes,5,Yes,No,Charge sheet preparation underway.
INV000014,CR000014,EMP001246,2025-05-24,2025-10-15,Completed,Yes,4,Yes,No,Charge sheet preparation underway.
INV000015,CR000015,EMP004776,2025-08-01,2026-01-20,Completed,Yes,9,No,No,Witness statements recorded.
INV000016,CR000016,EMP002183,2025-03-26,2025-09-12,Completed,Yes,3,No,No,Charge sheet preparation underway.
INV000017,CR000017,EMP004760,2025-05-27,,Ongoing,Yes,9,Yes,Yes,Evidence collection in progress.
INV000018,CR000018,EMP003280,2025-05-25,2025-09-17,Completed,Yes,2,Yes,Yes,Evidence verified and case completed.
INV000019,CR000019,EMP003296,2025-01-06,2025-04-05,Closed,No,3,Yes,Yes,Investigation closed after verification.
INV000020,CR000020,EMP008512,2024-11-03,2025-02-17,Completed,Yes,6,No,No,Charge sheet preparation underway.
INV000021,CR000021,EMP003278,2024-09-19,2025-01-12,Completed,Yes,7,No,No,Evidence verified and case completed.
INV000022,CR000022,EMP005482,2025-11-28,,Ongoing,Yes,6,No,No,Evidence collection in progress.
INV000023,CR000023,EMP008615,2025-08-04,2025-10-31,Closed,Yes,5,No,No,Complaint found to be false.
INV000024,CR000024,EMP008374,2025-02-10,2025-07-18,Closed,Yes,9,No,No,Complaint found to be false.
INV000025,CR000025,EMP005760,2025-09-08,2026-01-02,Completed,Yes,8,No,No,Investigation completed successfully.
INV000026,CR000026,EMP008659,2025-01-02,,Ongoing,Yes,4,No,No,Investigation in progress.
INV000027,CR000027,EMP005801,2025-12-28,2026-03-19,Completed,Yes,2,No,No,Charge sheet preparation underway.
INV000028,CR000028,EMP003262,2026-04-21,2026-06-21,Completed,Yes,4,No,No,Witness statements recorded.
INV000029,CR000029,EMP007840,2025-12-30,2026-03-25,Completed,Yes,9,No,No,Witness statements recorded.
INV000030,CR000030,EMP006677,2026-05-17,2026-07-24,Closed,Yes,10,Yes,Yes,Complaint found to be false.
INV000031,CR000031,EMP006742,2026-02-24,,Ongoing,No,7,Yes,Yes,Evidence collection in progress.
INV000032,CR000032,EMP010003,2024-12-11,2025-02-27,Completed,Yes,2,No,No,Charge sheet preparation underway.
INV000033,CR000033,EMP003265,2025-07-29,2026-01-19,Completed,Yes,6,No,No,Witness statements recorded.
INV000034,CR000034,EMP009586,2026-04-05,2026-07-30,Completed,Yes,4,Yes,Yes,Evidence verified and case completed.
INV000035,CR000035,EMP008850,2025-03-13,2025-06-17,Completed,Yes,1,No,No,Witness statements recorded.
INV000036,CR000036,EMP003683,2024-07-27,2024-11-05,Closed,Yes,6,Yes,Yes,Investigation closed after verification.
INV000037,CR000037,EMP003271,2025-09-29,2026-03-22,Completed,Yes,5,No,No,Investigation completed successfully.
