section_id,act_id,section,offence
SEC001,ACT001,103,Murder
SEC002,ACT001,109,Attempt to Murder
SEC003,ACT001,303,Theft
SEC004,ACT001,309,Robbery
SEC005,ACT001,318,Cheating
SEC006,ACT001,74,Assault
SEC007,ACT001,75,Sexual Harassment
SEC008,ACT002,66C,Identity Theft
SEC009,ACT002,66D,Online Cheating
SEC010,ACT004,21,Illegal Drugs
SEC011,ACT006,25,Illegal Arms
SEC012,ACT001,SYN001,Domestic Violence
SEC013,ACT001,SYN002,Stalking
SEC014,ACT002,SYN003,Financial Fraud
SEC015,ACT001,SYN004,Forgery
SEC016,ACT007,SYN005,Illegal Gambling
SEC017,ACT004,SYN006,Illegal Liquor
SEC018,ACT001,SYN007,Rioting
SEC019,ACT001,SYN008,Cattle Theft
SEC020,ACT001,SYN009,Crop Theft
SEC021,ACT001,SYN010,Sand Mining
