case_id,crime_datetime,district,taluk,police_station,crime_category,crime_type,crime_severity,case_status,fir_registered,act_id,section_id
CR000001,2024-09-10 07:16:41,Tumakuru,Madhugiri,Handanakere PS,Crime Against Women,Sexual Harassment,High,Pending Trial,Yes,ACT001,SEC007
CR000002,2025-07-08 09:48:07,Chitradurga,Challakere,Chitradurga Extension PS,Economic Crime,Forgery,Medium,Closed,Yes,ACT001,SEC015
CR000003,2026-01-25 13:43:24,Bengaluru Urban,Bengaluru South,Pulakeshinagar Traffic PS,Violent Crime,Robbery,Critical,Pending Trial,Yes,ACT001,SEC004
CR000004,2026-06-07 21:32:46,Vijayanagara,Kudligi,Cowlbazar PS,Property Crime,House Burglary,Medium,Charge Sheet Filed,No,ACT001,SEC003
CR000005,2025-09-09 00:30:05,Davanagere,Channagiri,Harihara Rural PS,Cyber Crime,UPI Fraud,Medium,Pending Trial,Yes,ACT002,SEC008
CR000006,2026-01-17 03:47:11,Vijayapura,Muddebihal,Kalkeri PS,Cyber Crime,Phishing,Medium,Pending Trial,Yes,ACT002,SEC009
CR000007,2025-10-22 23:01:38,Chitradurga,Chitradurga,Chitrahalli Gate PS,Rural Crime,Crop Theft,Medium,Under Investigation,No,ACT001,SEC020
CR000008,2026-06-10 23:39:15,Haveri,Haveri,Ranebennur Town PS,Rural Crime,Cattle Theft,Medium,Closed,Yes,ACT001,SEC019
CR000009,2025-10-25 04:09:53,Chamarajanagar,Gundlupet,Chamarajanagar Traffic PS,Public Order,Illegal Liquor,Medium,Under Investigation,Yes,ACT004,SEC017
CR000010,2024-09-20 09:52:30,Belagavi,Belagavi,Sankeshwar PS,Economic Crime,Financial Fraud,Medium,Closed,Yes,ACT002,SEC014
CR000011,2025-10-10 16:23:36,Chikkamagaluru,Kadur,Jayapura PS,Public Order,Rioting,Medium,Closed,Yes,ACT001,SEC018
CR000012,2025-10-21 20:14:18,Tumakuru,Koratagere,Tumkur Traffic PS,Cyber Crime,Phishing,Medium,Closed,No,ACT002,SEC009
CR000013,2024-07-27 14:08:03,Hassan,Channarayapatna,Channarayapatna Traffic PS,Economic Crime,Forgery,Medium,Closed,No,ACT001,SEC015
CR000014,2024-11-28 15:10:46,Mandya,Krishnarajpet,Besagaraghalli PS,Property Crime,Vehicle Theft,Medium,Under Investigation,Yes,ACT001,SEC003
CR000015,2025-10-25 20:11:44,Bidar,Bhalki,Bhalki Rural PS,Public Order,Illegal Liquor,Medium,Pending Trial,Yes,ACT004,SEC017
CR000016,2024-12-25 06:48:24,Hassan,Hole Narsipur,Holenarasipura Rural PS,Violent Crime,Assault,Critical,Closed,Yes,ACT001,SEC006
CR000017,2026-03-22 21:50:08,Chikkaballapura,Chikkaballapura,Nandi Giridhama PS,Rural Crime,Sand Mining,Medium,Pending Trial,Yes,ACT001,SEC021
CR000018,2025-05-19 16:16:27,Chitradurga,Challakere,Chitrahalli Gate PS,Public Order,Illegal Liquor,Medium,Closed,Yes,ACT004,SEC017
CR000019,2026-01-12 15:47:41,Tumakuru,Tumakuru,Arasikere PS,Cyber Crime,Phishing,Medium,Closed,Yes,ACT002,SEC009
CR000020,2026-03-02 23:37:49,Bengaluru Rural,Doddaballapura,Sulibele PS,Property Crime,Vehicle Theft,Medium,Pending Trial,No,ACT001,SEC003
CR000021,2025-12-22 06:01:18,Uttara Kannada,Bhatkal,Ramnagar PS,Crime Against Women,Sexual Harassment,High,Under Investigation,Yes,ACT001,SEC007
CR000022,2024-11-06 06:54:11,Hassan,Alur,Channarayapatna Traffic PS,Cyber Crime,OTP Scam,Medium,Pending Trial,Yes,ACT002,SEC009
CR000023,2025-08-13 07:13:51,Yadgir,Yadgir,Yadgir Women PS,Economic Crime,Cheating,Medium,Pending Trial,Yes,ACT001,SEC005
CR000024,2025-12-26 15:31:43,Tumakuru,Gubbi,Pavagada PS,Cyber Crime,UPI Fraud,Medium,Closed,Yes,ACT002,SEC008
CR000025,2025-01-03 17:58:31,Uttara Kannada,Ankola,Karwar Rural PS,Property Crime,Shop Theft,Medium,Closed,Yes,ACT001,SEC003
CR000026,2024-10-05 02:00:53,Udupi,Brahmavara,Udupi Traffic PS,Rural Crime,Cattle Theft,Medium,Pending Trial,Yes,ACT001,SEC019
CR000027,2025-09-25 07:13:48,Bengaluru Urban,Bengaluru East,Kumbalagudu PS,Crime Against Women,Sexual Harassment,High,Closed,Yes,ACT001,SEC007
CR000028,2025-05-12 13:49:51,Vijayapura,Indi,Bijapur Traffic PS,Property Crime,Shop Theft,Medium,Charge Sheet Filed,No,ACT001,SEC003
CR000029,2025-02-18 00:37:14,Hassan,Alur,Dudda PS,Public Order,Illegal Gambling,Medium,Pending Trial,Yes,ACT007,SEC016
CR000030,2025-03-08 23:09:54,Bengaluru South,Kanakapura,Kanakapura Traffic PS,Violent Crime,Assault,Critical,Pending Trial,Yes,ACT001,SEC006
CR000031,2026-04-23 04:29:22,Dharwad,Kundgol,Gokul Road PS,Violent Crime,Robbery,Critical,Pending Trial,Yes,ACT001,SEC004
CR000032,2025-03-30 19:40:22,Mysuru,Saraguru,Nanjanagudu Rural PS,Crime Against Women,Domestic Violence,High,Pending Trial,Yes,ACT001,SEC012
CR000033,2025-10-13 23:27:22,Chitradurga,Chitradurga,Chitradurga CEN Crime PS,Public Order,Rioting,Medium,Closed,Yes,ACT001,SEC018
CR000034,2025-09-08 10:38:27,Hassan,Belur,Belur PS,Public Order,Illegal Gambling,Medium,Under Investigation,Yes,ACT007,SEC016
CR000035,2024-10-02 13:35:08,Vijayapura,Almel,Golgumbaz PS,Public Order,Illegal Liquor,Medium,Charge Sheet Filed,Yes,ACT004,SEC017
CR000036,2025-10-13 10:41:48,Mysuru,Mysuru,Krishnaraja Traffic PS,Crime Against Women,Domestic Violence,High,Pending Trial,Yes,ACT001,SEC012
CR000037,2024-10-10 18:30:53,Bengaluru Rural,Nelamangala,Thyamagondlu PS,Public Order,Illegal Gambling,Medium,Pending Trial,No,ACT007,SEC016
